0,24,44,46,222
1,24,44,46,222
0,24,44,-230,-40
1,24,44,-230,-40
0,24,268,-230,-200
1,24,268,-230,-200
0,24,268,192,222
1,24,268,192,222
0,248,268,47,222
1,248,268,47,222
0,248,268,-230,-42
1,248,268,-230,-42
0,248,355,-53,-40
2,248,355,-53,-40
0,248,355,45,58
2,248,355,45,58
0,319,352,-264,-40
2,319,352,-264,-40
0,319,352,45,298
2,319,352,45,298
0,319,444,-265,-240
2,319,444,-265,-240
0,479,774,-265,-240
2,479,774,-265,-240
0,319,540,275,300
2,319,540,275,300
0,618,856,275,300
2,618,856,275,300
0,818,860,-265,-240
2,818,860,-265,-240
0,831,860,-265,-78
2,831,860,-265,-78
0,831,958,-94,-78
3,831,958,-94,-78
0,938,958,-94,98
3,938,958,-94,98
0,832,958,84,98
3,832,958,84,98
0,832,856,83,300
2,832,856,83,300
0,431,444,-335,-235
2,431,444,-335,-235
0,478,493,-335,-235
2,478,493,-335,-235
0,294,444,-335,-325
4,294,444,-335,-325
0,478,521,-335,-325
4,478,521,-335,-325
0,510,521,-483,-325
4,510,521,-483,-325
0,293,307,-483,-325
4,293,307,-483,-325
0,293,521,-483,-470
4,293,521,-483,-470
0,526,540,271,385
2,526,540,271,385
0,618,633,271,385
2,618,633,271,385
0,618,697,374,385
5,618,697,374,385
0,460,540,374,385
5,460,540,374,385
0,682,696,374,510
5,682,696,374,510
0,460,474,374,510
5,460,474,374,510
0,460,696,498,510
5,460,696,498,510
0,760,774,-348,-236
2,760,774,-348,-236
0,818,835,-348,-236
2,818,835,-348,-236
0,822,835,-426,-330
6,822,835,-426,-330
0,822,835,-535,-456
6,822,835,-535,-456
0,661,774,-348,-334
6,661,774,-348,-334
0,661,674,-535,-334
6,661,674,-535,-334
0,692,835,-535,-521
6,692,835,-535,-521
0,662,678,-560,-521
6,662,678,-560,-521
0,692,705,-560,-521
6,692,705,-560,-521
0,692,800,-560,-549
7,692,800,-560,-549
0,790,800,-638,-549
7,790,800,-638,-549
0,660,800,-638,-628
7,660,800,-638,-628
0,660,673,-638,-549
7,660,673,-638,-549
2,419,431,-166,210
8,419,431,-166,210
9,419,431,-166,210
2,419,555,-166,-152
8,419,555,-166,-152
8,419,555,17,30
9,419,555,17,30
2,419,555,196,210
9,419,555,196,210
2,545,555,-166,-132
8,545,555,-166,-132
2,545,555,-107,55
8,545,555,-107,55
9,545,555,-107,55
2,545,555,79,210
9,545,555,79,210
2,745,758,-166,210
10,745,758,-166,210
11,745,758,-166,210
2,620,758,-166,-152
10,620,758,-166,-152
10,620,758,17,30
11,620,758,17,30
2,620,758,196,210
11,620,758,196,210
2,620,632,-166,-132
10,620,632,-166,-132
2,620,632,-107,55
10,620,632,-107,55
11,620,632,-107,55
2,620,632,79,210
11,620,632,79,210
#,plantation(ENUM 12) fencing
0,835,1045,-530,-525
12,835,1045,-530,-525
0,835,1045,-275,-270
12,835,1045,-275,-270
0,1035,1045,-530,-270
12,1035,1045,-530,-270
